"Genero","Altura","Peso","Duracao","Batimento.Cardiaco","Temperatura.Corporal","Calorias","Idade"
"feminino",167,67,4,86,39.4,16,"30-39"
"masculino",189,98,3,85,39,13,"50-59"
"feminino",175,67,1,77,37.4,3,"50-59"
"feminino",188,88,5,78,39.1,16,"50-59"
"feminino",177,76,2,80,37.8,7,"60-69"
"feminino",148,53,2,88,38.1,9,"50-59"
"masculino",165,72,5,82,39.1,12,"30-39"
"masculino",183,88,5,86,38.6,22,"50-59"
"feminino",160,55,2,83,38.2,8,"40-49"
"feminino",171,75,7,88,39.3,29,"30-39"
"feminino",164,64,8,82,39.6,28,"20-29"
"masculino",187,87,1,80,37.7,4,"50-59"
"masculino",205,105,6,86,39.5,35,"70-79"
"feminino",150,51,6,87,39.3,26,"30-39"
"feminino",161,60,2,82,38.3,7,"30-39"
"feminino",154,52,8,80,39.5,30,"40-49"
"feminino",162,57,7,80,39.9,25,"30-39"
"feminino",173,69,7,83,39.4,24,"20-29"
"feminino",147,49,2,87,38.2,9,"40-49"
"feminino",156,59,4,77,38.8,16,"70-79"
"feminino",167,66,3,87,38.5,12,"20-29"
"masculino",194,NA,2,84,38.1,5,"20-29"
"feminino",158,62,3,78,38.4,12,"70-79"
"feminino",149,49,7,84,39.6,31,"50-59"
"masculino",185,92,2,94,38.1,11,"40-49"
"feminino",173,71,2,74,38.2,6,"50-59"
"feminino",160,54,6,87,39.3,27,"40-49"
"feminino",167,60,5,88,39,21,"20-29"
"feminino",154,55,1,86,37.5,4,"30-39"
"feminino",162,63,7,87,39.3,32,"50-59"
"masculino",194,101,2,80,38,7,"40-49"
"feminino",166,64,3,83,38.7,12,"50-59"
"feminino",163,NA,7,97,39.7,35,"20-29"
"masculino",190,96,2,79,38.1,4,"20-29"
NA,167,59,8,88,39.4,33,"20-29"
"masculino",166,70,5,85,39.4,12,"20-29"
"feminino",164,59,5,97,39.6,26,"20-29"
"feminino",180,NA,4,83,38.6,17,"70-79"
"feminino",180,75,7,92,39,31,"30-39"
"masculino",185,87,2,84,38.7,7,"40-49"
"feminino",166,65,4,86,39,17,"50-59"
"masculino",175,NA,1,74,37.9,2,"40-49"
"masculino",NA,79,3,89,38.9,10,"20-29"
NA,182,74,3,87,38.7,14,"60-69"
"feminino",157,58,7,94,39.2,34,"30-39"
"masculino",150,59,1,80,37.9,4,"70-79"
"masculino",202,100,2,81,38,5,"20-29"
"masculino",208,104,3,83,38.7,9,"30-39"
"masculino",183,78,3,83,38.9,7,"20-29"
"feminino",165,65,6,94,39.5,28,"20-29"
"masculino",191,96,4,86,38.8,17,"40-49"
"masculino",182,85,5,95,38.7,21,"20-29"
"feminino",142,52,3,82,38.5,13,"60-69"
"masculino",196,101,5,86,39.3,22,"50-59"
"feminino",184,76,6,91,39.3,26,"20-29"
"masculino",184,79,10,88,39.9,34,"30-39"
"feminino",173,70,4,93,38.8,19,"30-39"
"feminino",168,63,4,92,39,21,"50-59"
"feminino",NA,72,3,80,38.7,10,"30-39"
"feminino",164,64,4,85,39.2,16,"30-39"
"masculino",186,81,5,72,39.3,3,"20-29"
"masculino",186,84,10,90,39.7,34,"20-29"
"feminino",152,51,3,77,38.7,11,"40-49"
"feminino",158,61,5,80,39.2,17,"30-39"
"feminino",163,68,5,90,39.3,25,"70-79"
"masculino",182,79,8,82,39.6,30,"60-69"
"feminino",168,62,8,89,39.6,35,"30-39"
"feminino",175,NA,2,85,38.1,8,"30-39"
"feminino",157,53,3,81,38.5,11,"20-29"
"feminino",168,73,6,85,39.1,22,"20-29"
"feminino",168,67,8,NA,39.6,27,"30-39"
"masculino",186,93,11,87,39.9,33,"20-29"
"masculino",191,101,3,82,38.3,13,"60-69"
"feminino",169,67,4,83,38.6,15,"30-39"
"masculino",186,89,6,90,39.2,35,"70-79"
"masculino",198,99,9,78,39.7,30,"50-59"
"masculino",193,99,2,83,38.2,6,"20-29"
"masculino",164,68,3,78,38.8,5,"30-39"
"feminino",159,58,6,94,39.5,33,"60-69"
"masculino",196,101,3,88,38.6,18,"70-79"
"masculino",206,103,7,91,39.1,30,"30-39"
"feminino",162,59,2,83,38.4,7,"20-29"
"feminino",175,74,1,71,38.1,2,"20-29"
NA,168,58,5,87,39.3,20,"20-29"
"feminino",159,57,7,79,39.6,23,"20-29"
"feminino",162,NA,8,85,39.5,31,"20-29"
"masculino",203,104,6,86,39.2,20,"20-29"
"feminino",161,67,3,81,38.6,10,"20-29"
"feminino",168,66,4,78,39.1,13,"40-49"
"feminino",165,65,6,85,39.2,23,"20-29"
"masculino",193,97,2,NA,38.3,11,"70-79"
"feminino",166,60,14,94,40.3,66,"20-29"
"feminino",179,71,13,100,40.5,71,"30-39"
"feminino",146,51,16,90,40.2,72,"20-29"
"masculino",169,67,11,89,40.2,43,"40-49"
"masculino",188,86,14,94,40.2,74,"50-59"
"feminino",158,59,10,93,39.6,56,"70-79"
"feminino",154,59,10,88,40,50,"70-79"
"feminino",179,73,9,90,39.6,37,"20-29"
"masculino",189,88,13,94,40,65,"40-49"
"feminino",174,67,9,NA,39.5,42,"30-39"
"masculino",184,91,7,NA,39.2,41,"50-59"
NA,159,59,14,88,39.9,59,"20-29"
"feminino",136,45,11,94,40.1,54,"20-29"
"feminino",180,76,12,97,39.9,60,"20-29"
"feminino",170,70,10,98,39.7,52,"30-39"
"masculino",172,76,9,94,39.7,37,"30-39"
"feminino",174,69,13,87,39.8,60,"60-69"
"masculino",169,71,16,102,40.1,78,"20-29"
"masculino",182,90,11,90,40.2,58,"60-69"
"feminino",178,77,15,NA,40.4,71,"20-29"
"masculino",191,93,17,96,40.3,78,"20-29"
"masculino",198,100,12,90,40.4,44,"20-29"
"feminino",169,65,14,94,40.1,69,"30-39"
"feminino",190,91,12,89,40.2,48,"30-39"
"feminino",167,69,15,90,40.4,64,"20-29"
NA,157,61,12,92,40,58,"40-49"
"feminino",163,61,13,96,40.1,67,"30-39"
"feminino",153,54,13,84,40.3,62,"70-79"
"feminino",149,55,13,101,40.4,79,"50-59"
"feminino",NA,62,13,94,40.2,72,"60-69"
"masculino",188,NA,14,103,40.1,76,"20-29"
"feminino",158,60,12,91,40,54,"20-29"
"masculino",195,92,10,91,39.9,42,"30-39"
"masculino",193,100,8,90,39.4,44,"60-69"
"feminino",161,54,13,94,40.3,64,"20-29"
"masculino",193,95,10,97,40,52,"30-39"
"feminino",157,54,12,95,40.1,68,"60-69"
"masculino",195,NA,11,88,39.8,50,"40-49"
"feminino",164,67,13,94,40.2,70,"60-69"
"masculino",200,100,12,91,40.1,54,"30-39"
"feminino",178,77,11,95,39.9,57,"50-59"
"feminino",162,59,11,95,39.6,63,"60-69"
"masculino",194,91,14,91,40,66,"40-49"
"masculino",176,76,13,91,39.8,47,"20-29"
"masculino",176,83,10,99,39.7,51,"30-39"
"masculino",NA,93,14,91,40,74,"50-59"
NA,187,84,11,99,39.9,57,"30-39"
"masculino",183,86,11,87,40,47,"50-59"
"feminino",148,51,10,93,39.7,54,"50-59"
"masculino",192,98,10,97,39.8,52,"30-39"
"masculino",192,99,15,97,40.1,79,"30-39"
"feminino",159,55,13,92,40.2,62,"30-39"
NA,167,73,18,94,40.7,66,"20-29"
"masculino",179,79,7,95,39.5,37,"40-49"
"masculino",198,96,9,87,39.7,52,"70-79"
"masculino",188,90,10,91,39.7,52,"50-59"
"masculino",179,77,11,90,40,55,"60-69"
"masculino",185,88,12,97,39.9,52,"20-29"
"feminino",175,75,13,90,40.2,60,"50-59"
"feminino",168,62,11,89,40.1,51,"50-59"
"feminino",144,42,12,96,40.1,70,"50-59"
"masculino",187,91,15,95,40.3,72,"30-39"
"feminino",162,57,15,88,40.3,64,"30-39"
"feminino",160,57,14,85,40,68,"70-79"
"feminino",169,70,13,90,40.1,54,"20-29"
"feminino",152,54,10,86,39.7,42,"30-39"
"feminino",173,67,15,94,40,74,"30-39"
"masculino",184,82,14,87,39.9,39,"20-29"
"masculino",195,100,16,93,40.3,68,"20-29"
"masculino",183,77,13,92,40.2,44,"20-29"
"feminino",155,59,10,95,40,56,"60-69"
"masculino",194,103,14,85,39.9,57,"40-49"
"masculino",199,98,14,92,40.4,75,"50-59"
"feminino",166,67,15,97,40.2,78,"30-39"
"masculino",186,87,17,95,40.3,79,"30-39"
"feminino",163,61,7,93,39.7,39,"70-79"
"feminino",173,71,14,86,40.3,53,"20-29"
"feminino",169,65,14,92,39.7,66,"30-39"
"masculino",201,104,10,88,39.7,36,"20-29"
"feminino",152,50,10,94,39.5,49,"20-29"
"feminino",169,65,11,94,39.3,56,"40-49"
"masculino",185,87,11,96,39.5,55,"30-39"
"feminino",164,62,13,94,39.9,67,"40-49"
NA,168,68,17,91,40.4,79,"40-49"
"feminino",162,60,9,91,39.8,48,"70-79"
"masculino",163,69,10,91,39.9,52,"60-69"
"feminino",160,60,13,89,40.1,59,"40-49"
"feminino",173,74,10,97,39.8,53,"40-49"
"masculino",207,105,9,88,39.7,48,"60-69"
"masculino",191,91,8,90,39.6,49,"70-79"
"feminino",152,57,11,NA,40,49,"50-59"
"feminino",167,66,11,87,39.9,48,"40-49"
"masculino",201,103,6,92,39.1,38,"70-79"
"feminino",148,48,15,94,40.5,79,"40-49"
"masculino",189,94,11,88,40,52,"50-59"
"masculino",194,94,13,93,40.2,56,"30-39"
"masculino",201,105,11,94,39.7,66,"50-59"
"feminino",153,58,14,101,40.1,79,"20-29"
"feminino",178,73,15,95,40.5,75,"40-49"
"feminino",NA,71,8,89,39.7,37,"50-59"
"masculino",172,71,18,99,40.3,77,"20-29"
"masculino",184,89,10,95,39.9,53,"40-49"
"feminino",163,65,11,90,40,56,"70-79"
"masculino",172,73,13,98,40.1,73,"50-59"
"feminino",170,75,14,98,40.3,74,"40-49"
"feminino",168,71,12,96,39.7,69,"70-79"
"masculino",196,92,14,95,40,58,"20-29"
"masculino",202,98,14,97,40.3,71,"30-39"
"masculino",195,100,9,82,39.6,36,"50-59"
"masculino",193,97,15,92,40.5,64,"30-39"
"masculino",191,91,10,NA,39.6,53,"50-59"
"feminino",167,58,15,95,40.2,74,"20-29"
"masculino",187,92,13,92,40,52,"20-29"
"feminino",168,62,10,87,39.4,41,"20-29"
"feminino",158,54,9,92,39.4,42,"20-29"
"feminino",163,63,8,86,39.9,39,"70-79"
"masculino",182,82,20,92,40.2,69,"20-29"
"masculino",198,96,12,92,39.7,67,"50-59"
"feminino",172,75,12,93,40,58,"40-49"
"feminino",178,70,13,89,40.2,57,"30-39"
"feminino",151,60,11,92,40.1,59,"70-79"
"masculino",194,97,15,101,40,79,"20-29"
"masculino",172,75,11,89,40.1,62,"70-79"
"masculino",174,76,12,97,40.2,57,"30-39"
"feminino",156,62,8,87,39.4,38,"70-79"
NA,NA,65,11,101,40,60,"20-29"
"feminino",164,NA,12,94,40.4,67,"70-79"
"masculino",NA,84,14,93,40,73,"50-59"
"masculino",173,77,16,97,40,75,"30-39"
"masculino",187,91,15,95,40.1,66,"20-29"
"masculino",198,97,11,92,39.9,44,"20-29"
"feminino",158,58,11,89,39.8,49,"30-39"
"feminino",165,66,7,NA,39.6,39,"50-59"
"masculino",187,87,13,82,40.2,52,"60-69"
"feminino",166,66,10,80,40,36,"40-49"
"masculino",179,84,15,96,40.2,66,"20-29"
"masculino",179,82,16,86,40.2,74,"60-69"
"feminino",147,48,8,86,39.5,39,"60-69"
"feminino",NA,55,9,88,40,43,"50-59"
"masculino",NA,93,16,95,40.3,71,"20-29"
"feminino",165,63,8,94,39.5,40,"40-49"
"masculino",184,78,18,87,40.1,47,"20-29"
"feminino",165,65,14,85,40,58,"40-49"
"feminino",165,61,12,98,40,71,"60-69"
"feminino",160,60,12,95,40.2,60,"30-39"
"masculino",190,95,10,97,39.4,70,"70-79"
"feminino",135,41,14,92,40.2,70,"30-39"
"feminino",150,54,8,87,39.6,40,"70-79"
"feminino",159,NA,17,87,40,75,"40-49"
"feminino",159,62,8,94,39.6,41,"40-49"
"feminino",169,64,9,99,39.5,49,"30-39"
"masculino",185,83,13,97,40.3,74,"50-59"
"masculino",195,99,13,87,40.3,67,"60-69"
"masculino",200,106,12,89,40,73,"70-79"
"feminino",154,59,14,90,40.3,65,"40-49"
"feminino",171,73,8,88,40.2,37,"60-69"
"feminino",NA,51,16,88,40.3,71,"30-39"
"masculino",177,81,9,87,39.6,41,"50-59"
"masculino",189,86,14,105,40,78,"20-29"
"masculino",196,94,10,91,39.9,48,"40-49"
"feminino",182,76,10,82,39.6,39,"60-69"
"masculino",190,95,11,93,40.1,65,"60-69"
"masculino",NA,90,13,97,39.7,59,"20-29"
"feminino",177,NA,10,93,39.4,46,"30-39"
"feminino",162,62,8,98,39.7,43,"30-39"
"feminino",164,62,12,93,39.7,63,"50-59"
"feminino",148,48,13,77,40.2,40,"20-29"
"masculino",169,77,16,91,40.2,69,"40-49"
"masculino",182,85,9,87,39.5,37,"40-49"
"feminino",176,70,14,89,40.4,64,"50-59"
"masculino",183,85,11,87,40,60,"70-79"
"masculino",160,66,9,92,40.1,48,"60-69"
"feminino",174,68,11,95,40.1,58,"50-59"
NA,183,82,14,88,40.3,42,"20-29"
"masculino",196,101,17,87,40.1,71,"40-49"
"masculino",186,83,11,94,40.1,53,"40-49"
"masculino",166,63,13,99,39.9,56,"20-29"
"masculino",NA,81,16,96,40.2,71,"20-29"
NA,199,98,12,94,40,58,"30-39"
"masculino",NA,91,10,106,40.1,61,"20-29"
"masculino",191,91,10,93,39.8,49,"40-49"
NA,173,68,9,87,39.5,36,"30-39"
"masculino",184,86,14,92,39.9,64,"40-49"
"feminino",168,61,8,89,39.7,36,"40-49"
"masculino",182,83,16,94,40.2,76,"40-49"
"feminino",172,69,10,87,39.3,44,"50-59"
"masculino",192,92,11,87,40,60,"70-79"
"feminino",172,65,11,93,39.6,53,"30-39"
"masculino",196,98,14,88,40.4,54,"30-39"
"masculino",196,101,15,92,40.2,62,"20-29"
"feminino",174,72,11,92,39.7,53,"40-49"
"feminino",163,57,13,95,40.2,74,"60-69"
"feminino",154,60,10,92,39.7,49,"40-49"
"masculino",187,89,11,94,40,47,"20-29"
"feminino",176,76,14,100,40.4,78,"40-49"
"masculino",194,95,14,98,40.3,78,"30-39"
"masculino",162,67,12,94,40.1,42,"20-29"
"feminino",177,71,15,98,40.4,75,"20-29"
"feminino",163,61,9,92,39.7,42,"20-29"
"masculino",180,78,17,97,40.4,76,"20-29"
"feminino",169,69,15,NA,40.4,76,"20-29"
"feminino",NA,59,12,85,40,57,"70-79"
"feminino",183,71,17,91,40.5,73,"20-29"
"feminino",140,48,9,92,39.7,43,"20-29"
"masculino",193,97,8,88,39.4,45,"70-79"
"masculino",194,98,15,85,40.5,69,"50-59"
"feminino",172,70,13,97,39.8,74,"60-69"
"masculino",179,84,11,97,39.7,59,"40-49"
"feminino",172,73,10,92,39.9,46,"30-39"
"feminino",164,64,8,90,39.8,36,"30-39"
"masculino",185,84,15,100,40,71,"20-29"
"masculino",164,73,8,94,39.4,41,"50-59"
"masculino",180,80,11,95,40,46,"20-29"
"masculino",171,81,8,96,39.2,45,"50-59"
"feminino",169,NA,12,88,40.1,60,"70-79"
"masculino",NA,76,11,97,39.7,45,"20-29"
"masculino",181,80,12,93,39.8,45,"20-29"
"feminino",147,54,9,85,39.8,39,"40-49"
"feminino",180,74,13,94,40,62,"30-39"
"feminino",167,67,14,96,39.9,68,"20-29"
"feminino",162,62,13,83,40,50,"40-49"
"feminino",180,76,11,89,40.1,48,"40-49"
"feminino",173,76,12,97,40.2,63,"40-49"
"feminino",172,65,8,97,39.6,40,"20-29"
"feminino",175,73,11,87,39.8,42,"20-29"
"feminino",167,67,15,93,40.4,73,"30-39"
"feminino",161,62,8,94,39.4,39,"20-29"
"feminino",158,64,13,86,40,62,"70-79"
"masculino",178,76,10,93,39.6,51,"50-59"
"masculino",171,76,14,95,40.2,68,"40-49"
"feminino",169,68,14,94,40,73,"50-59"
"masculino",169,78,14,92,40.1,70,"50-59"
"feminino",164,65,13,93,40.1,68,"50-59"
"masculino",179,81,15,94,40.1,57,"20-29"
"masculino",185,82,16,85,40.1,43,"20-29"
"feminino",NA,50,10,93,39.9,55,"60-69"
"masculino",172,74,10,94,40.1,63,"70-79"
"feminino",161,60,12,95,40.2,68,"60-69"
"feminino",173,68,10,87,39.9,41,"30-39"
"feminino",168,69,12,89,40,58,"60-69"
"feminino",153,54,10,90,39.6,44,"20-29"
"masculino",169,68,13,88,40.1,59,"60-69"
"feminino",NA,71,10,101,39.5,59,"50-59"
"feminino",168,65,14,88,40.1,57,"20-29"
"masculino",181,81,12,86,40,42,"40-49"
"masculino",207,104,12,103,40.4,69,"20-29"
"feminino",174,69,17,90,40.5,76,"30-39"
"feminino",175,72,10,93,39.6,44,"20-29"
"feminino",172,70,13,84,40.2,54,"50-59"
"masculino",169,68,15,92,40.6,54,"20-29"
"feminino",153,57,11,92,39.8,50,"20-29"
"feminino",156,61,14,96,40.1,73,"30-39"
"feminino",163,62,11,95,39.8,57,"40-49"
NA,193,99,12,91,39.8,62,"50-59"
"feminino",151,NA,8,87,39.5,38,"60-69"
"feminino",158,58,9,91,39.8,42,"30-39"
"feminino",165,59,10,88,39.7,41,"20-29"
"feminino",179,79,15,94,40.3,72,"40-49"
"feminino",165,64,15,90,40.1,68,"30-39"
"feminino",156,52,10,97,39.5,51,"20-29"
"masculino",176,83,17,87,40.8,50,"20-29"
"feminino",154,51,9,91,39.7,41,"20-29"
"feminino",171,70,12,87,39.8,55,"60-69"
"masculino",181,83,14,88,40.2,45,"20-29"
"feminino",153,52,14,102,40.4,79,"20-29"
"feminino",148,54,13,85,40.3,60,"60-69"
"feminino",185,75,14,93,40,65,"30-39"
"masculino",185,92,9,82,39.6,38,"60-69"
"feminino",155,55,10,83,39.7,38,"30-39"
"masculino",187,88,12,97,39.9,52,"20-29"
"feminino",175,66,17,93,40.5,78,"20-29"
"feminino",165,65,14,94,39.9,76,"60-69"
"masculino",165,69,13,92,39.9,47,"30-39"
"feminino",170,66,9,94,39.8,43,"20-29"
"masculino",167,74,11,98,39.7,63,"50-59"
"masculino",177,77,16,91,40.5,69,"40-49"
"feminino",167,65,16,92,40.1,74,"30-39"
"feminino",171,64,13,89,39.8,54,"20-29"
"feminino",140,45,12,90,39.5,57,"30-39"
"feminino",NA,66,11,84,40.1,45,"50-59"
"masculino",187,95,12,90,40.4,57,"40-49"
"feminino",159,62,9,89,39.6,40,"30-39"
"feminino",NA,72,9,89,39.9,38,"30-39"
"masculino",185,85,10,90,39.6,40,"30-39"
"masculino",197,95,12,91,40.2,49,"30-39"
"feminino",175,73,10,86,39.8,38,"20-29"
"feminino",154,58,9,92,39.9,48,"60-69"
"feminino",163,64,14,89,40.4,60,"30-39"
"feminino",162,63,14,88,39.9,59,"30-39"
"feminino",168,67,19,81,40.5,69,"40-49"
"masculino",196,103,10,99,39.7,57,"30-39"
"feminino",164,61,16,81,40,54,"20-29"
"feminino",168,60,12,83,40,48,"40-49"
"feminino",150,54,15,86,40.2,68,"50-59"
"masculino",187,86,11,90,39.8,51,"40-49"
"feminino",174,77,15,97,40.4,78,"40-49"
"masculino",189,88,10,90,39.7,39,"30-39"
"masculino",NA,92,13,91,40,48,"20-29"
"masculino",186,NA,13,101,40,79,"40-49"
"masculino",NA,78,19,91,40.2,68,"20-29"
"masculino",193,97,9,94,39.7,41,"30-39"
"feminino",177,76,11,86,39.6,47,"50-59"
"feminino",174,69,12,86,39.9,57,"70-79"
"feminino",163,62,15,97,40.2,77,"20-29"
"masculino",179,80,8,93,39.4,37,"40-49"
"masculino",NA,NA,13,92,39.7,75,"60-69"
"feminino",152,58,9,97,39.8,49,"40-49"
"masculino",188,98,7,NA,39.2,48,"70-79"
NA,175,75,15,97,40.3,63,"20-29"
"masculino",189,88,8,85,39.8,38,"60-69"
"feminino",155,60,10,98,39.8,56,"40-49"
NA,NA,65,14,94,39.8,66,"20-29"
"masculino",195,102,8,85,39.5,36,"50-59"
"feminino",175,72,9,86,39.2,40,"60-69"
"masculino",174,80,12,99,40.1,56,"20-29"
"feminino",176,63,17,92,40.5,77,"20-29"
"feminino",158,62,13,85,40,62,"70-79"
"masculino",169,75,15,NA,40.6,73,"20-29"
"feminino",155,58,14,88,40.2,68,"60-69"
"masculino",NA,81,11,NA,40,48,"20-29"
"feminino",162,59,13,93,40,71,"60-69"
"masculino",181,78,15,87,40.3,40,"20-29"
NA,186,85,17,88,40.6,72,"40-49"
"feminino",162,NA,13,88,40.3,55,"20-29"
"feminino",165,61,15,85,40.4,56,"20-29"
"feminino",179,73,18,91,40.3,79,"30-39"
"masculino",192,96,12,95,40.4,57,"30-39"
"feminino",176,67,13,88,40.1,54,"20-29"
"feminino",165,65,7,93,39,36,"50-59"
"masculino",182,82,11,89,39.8,42,"30-39"
"feminino",NA,69,12,95,39.8,60,"30-39"
"feminino",163,60,12,91,40.2,57,"30-39"
"feminino",159,56,11,93,40,53,"20-29"
"masculino",NA,84,9,93,39.9,53,"60-69"
"masculino",NA,87,9,93,39.8,57,"70-79"
"feminino",157,56,15,98,39.7,79,"20-29"
"feminino",161,57,10,89,40.2,47,"40-49"
"masculino",200,NA,17,92,40.3,68,"20-29"
"feminino",170,69,11,85,39.7,48,"60-69"
"feminino",156,56,10,98,39.9,59,"50-59"
"masculino",180,83,13,93,40.2,51,"20-29"
"masculino",179,81,16,87,40.3,60,"40-49"
"masculino",184,NA,11,93,39.8,51,"30-39"
"feminino",148,NA,8,87,39.8,36,"40-49"
"masculino",194,102,10,88,40,50,"50-59"
"feminino",188,77,17,88,40.7,69,"30-39"
"feminino",157,59,11,82,39.7,39,"20-29"
"masculino",175,82,9,91,39.6,43,"50-59"
"feminino",143,49,15,86,40.3,75,"70-79"
"masculino",193,91,13,89,40.3,50,"30-39"
"masculino",190,95,13,93,40.2,53,"20-29"
"masculino",178,77,8,89,39.8,42,"60-69"
"masculino",185,88,10,92,39.7,61,"70-79"
"feminino",169,71,9,91,39.7,44,"50-59"
"feminino",161,64,16,86,40.3,70,"50-59"
"masculino",187,95,10,89,39.8,48,"50-59"
"feminino",163,NA,14,NA,40.3,51,"30-39"
"masculino",187,93,9,85,40.1,44,"60-69"
"masculino",206,106,10,95,40,72,"70-79"
"feminino",174,68,9,95,39.4,48,"50-59"
"masculino",193,86,12,102,40.4,61,"20-29"
"masculino",189,97,11,88,39.7,44,"30-39"
"feminino",165,59,12,91,39.8,54,"20-29"
"feminino",149,54,13,93,40.1,74,"70-79"
NA,172,69,11,95,39.7,61,"60-69"
"masculino",176,81,13,93,40.3,60,"40-49"
"masculino",183,91,12,92,40.1,70,"60-69"
"feminino",173,69,8,87,39.7,36,"50-59"
"masculino",183,83,11,96,40.1,57,"40-49"
"masculino",171,74,13,90,39.6,69,"60-69"
"feminino",161,57,7,94,39.2,37,"50-59"
"masculino",177,77,10,98,39.8,42,"20-29"
"masculino",197,105,12,88,39.7,71,"70-79"
"masculino",193,99,20,89,40.2,71,"20-29"
"masculino",175,76,12,92,40.3,43,"20-29"
"feminino",170,70,11,86,40.1,42,"20-29"
"feminino",176,NA,15,96,40.3,75,"30-39"
"feminino",153,50,9,82,39.6,38,"50-59"
"masculino",197,103,6,91,39.1,38,"70-79"
"masculino",NA,79,12,101,40.5,60,"20-29"
"masculino",176,78,12,98,39.7,59,"30-39"
"masculino",203,103,11,93,39.8,44,"20-29"
"feminino",149,52,16,91,40.4,72,"20-29"
"feminino",172,75,14,NA,40,79,"40-49"
"masculino",195,89,12,94,39.8,65,"50-59"
"masculino",178,85,15,91,40.1,71,"40-49"
"feminino",163,63,15,96,39.7,74,"20-29"
"feminino",159,63,12,93,40.2,59,"40-49"
"feminino",176,71,13,89,39.9,57,"40-49"
"feminino",172,67,17,86,40.5,71,"40-49"
"masculino",201,97,10,99,40,58,"40-49"
"feminino",166,64,13,99,40.3,77,"60-69"
"feminino",177,77,10,97,39.9,52,"40-49"
"feminino",166,62,11,95,39.7,54,"20-29"
"feminino",155,54,14,91,40.3,70,"40-49"
"feminino",177,76,15,94,40.1,76,"50-59"
"feminino",183,78,13,96,40.1,63,"20-29"
"masculino",NA,89,13,89,40.1,45,"20-29"
"feminino",177,75,9,95,39.6,47,"50-59"
"feminino",166,62,11,90,39.6,55,"60-69"
"feminino",162,70,13,NA,40.4,71,"60-69"
"masculino",188,93,10,94,39.6,42,"20-29"
"feminino",153,49,10,88,39.9,44,"20-29"
NA,153,52,10,87,39.6,43,"30-39"
"feminino",165,65,12,88,40.1,48,"20-29"
"masculino",183,83,10,91,40.1,49,"50-59"
"masculino",186,93,9,86,39.7,45,"60-69"
"masculino",179,71,16,97,40.3,68,"20-29"
"feminino",157,59,10,96,39.8,51,"20-29"
"masculino",208,112,13,91,40.3,70,"50-59"
"masculino",176,81,12,90,39.7,41,"20-29"
"masculino",188,93,14,91,40.3,50,"20-29"
"masculino",159,64,16,87,40.3,38,"20-29"
"feminino",160,59,11,88,40.2,45,"20-29"
"masculino",191,88,10,91,39.7,36,"20-29"
"feminino",161,63,11,84,40.2,46,"50-59"
"feminino",158,60,12,91,39.9,57,"30-39"
"feminino",174,69,14,86,40.6,55,"30-39"
"masculino",180,90,13,90,39.8,71,"60-69"
"feminino",158,54,13,96,40,65,"20-29"
"feminino",156,54,12,96,40,68,"50-59"
"masculino",180,86,8,92,39.3,39,"40-49"
"feminino",141,48,14,98,40,78,"30-39"
"feminino",171,69,9,99,39.6,46,"20-29"
NA,157,52,11,85,40,43,"20-29"
"masculino",162,69,8,89,39.4,44,"70-79"
"feminino",164,NA,12,88,40,56,"60-69"
"masculino",196,88,13,94,39.9,53,"20-29"
"feminino",152,60,11,98,39.7,58,"30-39"
"feminino",NA,54,13,93,39.7,65,"30-39"
"masculino",193,92,13,93,39.7,68,"50-59"
"feminino",182,83,15,91,39.8,67,"40-49"
"masculino",188,91,12,90,40.1,59,"50-59"
"feminino",154,56,11,90,40.1,50,"30-39"
NA,175,74,13,95,40.2,60,"20-29"
"feminino",167,70,13,92,40.1,63,"50-59"
"feminino",169,66,9,87,40,36,"20-29"
"masculino",176,74,15,100,40.3,67,"20-29"
"feminino",NA,76,10,83,39.8,37,"40-49"
"feminino",149,52,14,92,40.1,73,"50-59"
"masculino",195,92,15,97,40,71,"20-29"
"feminino",191,84,11,98,40.4,62,"60-69"
"feminino",161,63,10,97,39.9,51,"20-29"
"feminino",155,53,12,100,40.1,75,"60-69"
"masculino",188,84,16,95,40.4,70,"20-29"
"masculino",177,84,11,NA,40,52,"50-59"
"feminino",142,47,12,96,39.9,62,"20-29"
NA,187,91,13,91,40.2,58,"40-49"
"masculino",181,82,15,93,40.3,63,"30-39"
"feminino",148,48,13,94,40.2,66,"30-39"
"masculino",187,91,13,89,40,44,"20-29"
"masculino",183,88,12,95,40,62,"40-49"
"masculino",175,79,8,98,39.9,39,"30-39"
"feminino",161,55,13,93,40.2,62,"20-29"
"masculino",172,81,14,88,40.5,68,"60-69"
"feminino",154,57,11,89,40.1,53,"50-59"
"feminino",178,74,14,96,40.4,68,"20-29"
"masculino",190,94,15,91,40.2,55,"20-29"
"feminino",186,85,16,89,40.4,72,"50-59"
"masculino",189,93,15,95,40.5,71,"30-39"
"feminino",156,51,12,95,39.6,61,"20-29"
"masculino",183,89,14,95,39.9,74,"40-49"
"masculino",186,89,13,NA,40.2,55,"40-49"
"feminino",165,64,11,96,39.6,59,"40-49"
"masculino",188,86,10,94,39.4,44,"30-39"
"feminino",164,63,12,91,39.8,56,"30-39"
"feminino",160,61,8,88,40,38,"60-69"
"feminino",164,61,12,88,40.2,50,"20-29"
"masculino",186,90,14,100,40,78,"30-39"
"masculino",170,79,13,89,39.8,64,"60-69"
"masculino",170,74,14,90,39.9,74,"60-69"
